GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-sorting,com.irurueta.sorting,BuildInfo,6,107,1,3,2,28,1,11,0,10
com.irurueta:irurueta-sorting,com.irurueta.sorting,Sorter,0,1881,0,217,0,334,0,161,0,51
com.irurueta:irurueta-sorting,com.irurueta.sorting,SortingException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-sorting,com.irurueta.sorting,Sorter.new ComparatorAndAverager() {...},0,176,8,24,0,20,8,11,0,3
com.irurueta:irurueta-sorting,com.irurueta.sorting,ShellSorter,15,1085,10,170,10,242,10,92,0,12
com.irurueta:irurueta-sorting,com.irurueta.sorting,QuicksortSorter,55,3595,20,320,20,586,20,163,0,13
com.irurueta:irurueta-sorting,com.irurueta.sorting,SortingMethod,0,33,0,0,0,6,0,1,0,1
com.irurueta:irurueta-sorting,com.irurueta.sorting,StraightInsertionSorter,15,725,10,130,10,152,10,72,0,12
com.irurueta:irurueta-sorting,com.irurueta.sorting,SystemSorter,0,31,0,0,0,12,0,7,0,7
com.irurueta:irurueta-sorting,com.irurueta.sorting,HeapsortSorter,15,1569,10,190,10,281,10,113,0,23
